2005/07/01 00:01:08 YVR SA 0000  40 FEW 220 -BKN 20 154/23.7/14.0/1510G16/CU1CI1 7007 RMK CONTRAILS UNOFF
2005/07/01 01:02:20 YVR SA 0100  40 FEW 100 FEW 220 -SCT 20 151/22.7/13.1/1410/CU1AC1CI1 RMK CONTRAILS / TR AC UNOFF
2005/09/29 14:00:40 YVR SA 1400  7 SCT M13 BKN 18 OVC 2RA-FG 122/12.0/11.8/0911/SF4SC5SC1  UNOFF
2005/09/29 14:18:21 YVR SP 1417  7 SCT M13 BKN 18 OVC 11/4RA-FG /12.1//1012/SF5SC4SC1  UNOFF
2005/09/29 14:34:08 YVR SP 1432  5 SCT M13 BKN 18 OVC 11/2RA-FG /12.2//1114/SF5SC4SC1  UNOFF
2005/09/29 15:00:52 YVR SA 1500  5 SCT M13 BKN 18 OVC 21/2RA-FG 115/12.3/12.1/0910/SF4SC5SC1 6032  UNOFF
2005/09/29 15:13:14 YVR SP 1511  6 SCT M13 BKN 18 OVC 3RA-FG /12.3//0911/SF4SC4SC2 RMK VIS LWR N QUAD 2 SM UNOFF
2005/09/29 15:35:57 YVR SP 1534  7 FEW M15 BKN 18 OVC 5RA-FG /12.6//1012/SF3SC6SC1  UNOFF
2005/09/29 16:00:45 YVR SA 1600  8 FEW M16 BKN 20 OVC 7RA- 100/12.8/12.5/1013/SF3SC5SC2  UNOFF
2005/09/29 17:02:30 YVR SA 1700  15 FEW M21 BKN 30 OVC 8 092/13.6/12.7/1211G17/SF2SC6SC2  UNOFF
2005/09/29 17:07:39 YVR SP 1706  15 FEW M21 BKN 30 OVC 7RA- /13.8//1110/SF2SC6SC2  UNOFF
2005/09/29 17:11:09 YVR SP 1710  15 FEW M21 BKN 30 OVC 6RA-FG /13.8//1110/SF2SC6SC2  UNOFF
2005/09/29 17:15:58 YVR SP 1715  15 FEW M21 BKN 30 OVC 3RA-FG /13.8//1110/SF2SC6SC2  UNOFF
2005/09/29 18:02:19 YVR SA 1800  15 FEW 25 SCT M41 OVC 3RA-FG 087/13.9/13.4/1110/SF2SC2SC6 6028  UNOFF
2005/09/29 19:44:48 YVR SP 1943  15 FEW 30 SCT M54 OVC 7RA- /14.2//1313/SF2SC2SC6  UNOFF
2005/09/29 20:02:08 YVR SA 2000  20 FEW M51 BKN 77 OVC 10RA- 072/14.2/13.7/1313G21/SF3SC5AC2 RMK VIS LWR N QUAD 7SM UNOFF
2005/09/29 20:14:05 YVR SP 2013  20 FEW M51 BKN 79 OVC 10 /14.4//1412/SF3SC4AC3  UNOFF
2005/09/29 20:32:06 YVR SP 2030  20 FEW M36 BKN 55 OVC 10RA- /14.8//1211/SF3SC4SC3  UNOFF
2005/09/29 20:32:53 YVR SP 2030  20 FEW M36 BKN 55 OVC 8RA- /14.8//1211/SF3SC4SC3  UNOFF
2005/09/29 20:49:32 YVR SP 2048  20 FEW M41 BKN 55 OVC 6RA-FG /14.9//1308/SF3SC4SC3  UNOFF
2005/09/29 21:02:49 YVR SA 2100  9 FEW 25 FEW M42 BKN 50 OVC 8RA- 065/15.0/14.4/1309/SF2SC1SC6SC1 7022 RMK VIS LWR N QUAD 5 SM UNOFF
2005/09/29 21:32:01 YVR SP 2130  M12 BKN 41 OVC 6RA-FG /15.5//1106/SC6SC4 RMK VIS LWR N QUAD 4 SM UNOFF
2005/09/29 21:39:25 YVR SP 2138  12 SCT M39 OVC 8RA- /15.5//1310/SC4SC5  UNOFF
2005/09/29 22:01:36 YVR SA 2200  12 FEW M52 BKN 75 OVC 12 062/15.8/15.1/1412/SF3SC5AC1  UNOFF
2005/09/29 22:02:34 YVR SA 2200  12 FEW M52 BKN 75 OVC 12SHRA- 062/15.8/15.1/1412/SF3SC5AC1  UNOFF
2005/09/29 22:22:27 YVR SP 2221  15 FEW 50 SCT M72 OVC 12 /15.8//1513/SF2SC3AC4  UNOFF
2005/09/29 23:01:41 YVR SA 2300  15 FEW 50 FEW M65 OVC 15 060/16.1/15.2/1105/SF1SC2SC7 RMK VIS LWR N QUAD 12 SM UNOFF
2005/09/29 23:35:45 YVR SP 2334  M9 BKN 52 OVC 15 /16.4//0905/SC6SC4  UNOFF
2005/09/29 23:44:25 YVR SP 2343  M11 BKN 52 OVC 15 /16.5//1204/SC6SC4  UNOFF

2005/09/30 00:01:07 YVR SA 0000  M11 BKN 65 OVC 15 063/16.3/15.2/1504/SC7SC3 5002  UNOFF
2005/09/30 00:16:49 YVR SP 0015  11 SCT M52 OVC 15SHRA- /16.2//0000/SC5SC5  UNOFF
2005/09/30 00:35:51 YVR SP 0034  M11 BKN 48 OVC 15 /16.6//3603/SC6SC3  UNOFF
2005/09/30 01:00:40 YVR SA 0100  11 SCT M48 OVC 15 064/16.4/15.3/1405/SC5SC4  UNOFF
2005/09/30 02:01:28 YVR SA 0200  11 FEW 47 SCT M100 BKN 15 064/16.0/14.8/1408/SF2SC3AC4  UNOFF
2005/09/30 03:01:13 YVR SA 0300  11 FEW 47 SCT M110 BKN 10 068/16.2/13.9/0000/SF3SC2AC2 2005  UNOFF
2005/09/30 04:01:06 YVR SA 0400  110 SCT 10 073/13.8/13.5/0807/AC5  UNOFF
2005/09/30 05:01:14 YVR SA 0500  110 FEW 240 SCT 10 075/15.3/13.1/1905/AC2CC2  UNOFF
2005/09/30 06:02:09 YVR SA 0600  100 FEW 240 SCT 10 077/14.2/12.3/2706/AC2CC3 2009  UNOFF
2005/09/30 07:01:05 YVR SA 0700  40 FEW 240 SCT 10 082/13.3/11.9/2812G17/CF1CC4  UNOFF
2005/09/30 08:01:14 YVR SA 0800  40 FEW 220 SCT 10 088/12.9/11.5/2814/SC2CC3  UNOFF
2005/09/30 09:01:16 YVR SA 0900  40 FEW M230 BKN 15 092/12.7/10.2/2818/SC2CC5 2015  UNOFF
2005/09/30 10:00:58 YVR SA 1000  40 FEW M220 BKN 15 093/12.6/9.9/2820G25/SC2CC6  UNOFF
2005/09/30 11:01:02 YVR SA 1100  70 FEW 230 SCT 15 095/12.5/10.1/2818/AC1CC4  UNOFF
2005/09/30 12:01:58 YVR SA 1200  60 FEW 230 SCT 15 099/12.3/9.4/2719G24/SC2CC3 2007  UNOFF
2005/09/30 13:01:39 YVR SA 1300  40 FEW 70 FEW 230 FEW 15 099/12.0/9.5/2117G25/SC1AC1CC1  UNOFF
2005/09/30 13:08:46 YVR SA 1300  40 FEW 70 FEW 230 FEW 15 099/12.0/9.5/2717G25/SC1AC1CC1  UNOFF
2005/09/30 14:01:50 YVR SA 1400  10 FEW 150 SCT M230 OVC 15 103/11.4/9.2/2912G18/SF1AC3CI2  UNOFF
2005/09/30 15:02:05 YVR SA 1500  10 FEW 150 SCT M230 OVC 15 106/11.4/9.4/2909/SF1AC3CI2 5007  UNOFF
2005/09/30 16:01:42 YVR SA 1600  15 FEW 40 FEW 180 -SCT 230 -BKN 15 110/11.5/9.6/3008/SC1SC1AC1CI2 RMK CONTRAILS UNOFF
2005/09/30 17:02:43 YVR SA 1700  15 FEW 180 SCT M240 OVC 15 110/12.3/10.1/3008/SF1AS3CS4  UNOFF
2005/09/30 18:00:24 YVR SA 1800  15 FEW M160 BKN 240 OVC 15 110/12.5/10.2/2808/SF3AS5CS2 2004  UNOFF
2005/09/30 19:02:08 YVR SA 1900  15 -FEW M180 BKN 240 OVC 15 104/13.1/10.3/2504/SF1AS5CS3  UNOFF
2005/09/30 20:01:42 YVR SA 2000  20 FEW M190 BKN 220 OVC 15 100/12.9/9.7/2703/SF1AS5CS3  UNOFF
2005/09/30 21:02:20 YVR SA 2100  25 FEW M180 BKN 220 BKN 15 094/13.2/9.5/2603/SC1AS5CS2 0016  UNOFF
2005/09/30 22:01:01 YVR SA 2200  25 FEW M180 BKN 220 BKN 15 087/13.0/9.6/2504/SF1AS6CS1  UNOFF
2005/09/30 23:02:28 YVR SA 2300  35 FEW 240 -BKN 20 080/13.9/9.9/2603/SC1CI1  UNOFF

2005/10/01 00:01:14 YVR SA 0000  35 FEW 220 -SCT 20 069/14.4/8.5/2804/SC1CI1 0025  UNOFF
2005/10/01 01:01:12 YVR SA 0100  40 FEW 240 -SCT 20 066/13.8/8.2/2204/SC1CI1  UNOFF
2005/10/01 02:02:28 YVR SA 0200  40 FEW 240 FEW 20 063/12.0/9.2/2104/SC1CC2 RMK HZ UNOFF
2005/10/01 03:01:34 YVR SA 0300  40 FEW 240 FEW 20 066/11.9/9.2/1805/SC2CC1 5003  UNOFF
2005/10/01 04:00:51 YVR SA 0400  40 FEW 20 065/10.4/8.4/0302/SC1  UNOFF
2005/10/01 05:01:20 YVR SA 0500  240 FEW 20 065/9.7/8.1/0703/CC2  UNOFF
2005/10/01 06:01:59 YVR SA 0600  40 FEW 240 SCT 15 065/9.9/8.3/0704/SC1CC3 6001  UNOFF
2005/10/01 07:01:06 YVR SA 0700  M65 BKN 15 067/9.1/8.1/0804/SC7  UNOFF
2005/10/01 08:01:07 YVR SA 0800  65 SCT 15 064/7.7/6.9/0905/SC4  UNOFF
2005/10/01 09:01:26 YVR SA 0900  100 FEW 240 SCT 15 068/8.0/7.6/1005/AC2CC2 5003  UNOFF
2005/10/01 10:01:12 YVR SA 1000  35 FEW M80 BKN 15 067/8.7/8.2/0904/SC3AC4  UNOFF
2005/10/01 11:01:08 YVR SA 1100  55 FEW 80 SCT 15 066/8.9/8.3/0903/SC2AC3  UNOFF
2005/10/01 12:01:58 YVR SA 1200  35 FEW 55 SCT M80 BKN 10 067/9.7/8.9/1004/SC3SC2AC2 5001  UNOFF
2005/10/01 13:01:19 YVR SA 1300  16 FEW M55 BKN 10 066/9.7/8.9/1005/SC3SC4  UNOFF
2005/10/01 13:36:08 YVR SP 1334  9 SCT M55 BKN 10 /9.9//0904/SC4SC5  UNOFF
2005/10/01 13:42:00 YVR SP 1339  M9 BKN 55 OVC 10 /9.9//0804/SC6SC3 RMK VIS N QUAD LWR 8 SM UNOFF
2005/10/01 14:00:37 YVR SA 1400  M9 BKN 50 OVC 10 066/10.2/9.2/0602/SC8SC2  UNOFF
2005/10/01 14:26:19 YVR SP 1425  9 SCT 50 -BKN M240 BKN 15 /10.0//0703/SC4SC1CI1  UNOFF
2005/10/01 14:38:17 YVR SP 1437  M9 BKN 50 OVC 15 /10.0//0000/SC7SC1  UNOFF
2005/10/01 15:02:33 YVR SA 1500  M9 BKN 50 OVC 15 068/10.3/9.4/0103/SC7SC1 5001  UNOFF
2005/10/01 16:00:38 YVR SA 1600  M12 BKN 50 BKN 15 072/10.9/9.1/0000/SC6SC2  UNOFF
2005/10/01 16:34:07 YVR SP 1632  12 -BKN 220 -BKN 15 /12.2//3403/SC4CI1  UNOFF
2005/10/01 17:01:13 YVR SA 1700  13 -SCT 25 -BKN 15 075/12.0/9.8/0000/SF3SC1  UNOFF
2005/10/01 18:00:44 YVR SA 1800  15 FEW 20 -SCT 15 078/12.1/8.9/2403/CF1CU3 2010 RMK TCU ASOCT UNOFF
2005/10/01 19:02:41 YVR SA 1900  15 FEW 25 -SCT 15 080/13.7/10.0/2507G15/CF1TCU3  UNOFF
2005/10/01 20:00:46 YVR SA 2000  15 FEW 25 FEW 20 079/14.5/9.4/2407/CF1TCU2 RMK TR CF UNOFF
2005/10/01 21:01:09 YVR SA 2100  20 FEW 35 FEW 220 FEW 20 078/14.5/8.1/2507/CF1TCU2CI1 0000 RMK TR CF / TR CI UNOFF
2005/10/01 22:01:04 YVR SA 2200  30 FEW 35 FEW 40 FEW 220 -SCT 30 080/13.6/8.0/2705/CU1TCU1CB1CI1 RMK CB DIST W QUAD/ NE QUAD / E QUAD / TR CU UNOFF
2005/10/01 23:01:05 YVR SA 2300  35 FEW 40 -FEW 220 -SCT 30 080/14.4/7.8/2106/CF1CU1CI1 RMK TR CF UNOFF

2005/10/02 00:01:15 YVR SA 0000  33 FEW 40 FEW 90 -FEW 220 -SCT 30 083/15.0/7.0/2207/CU1CB1AC1CI1 5005 RMK CB DIST W QUAD / SW QUAD UNOFF
2005/10/02 01:04:02 YVR SA 0100  40 FEW 45 FEW 100 -SCT 220 -BKN 30 083/14.2/6.9/1604/CU1CB1AC1CI1 RMK CB DIST SW - W QUAD/ SHRS DIST NE QUAD / TR CU UNOFF
2005/10/02 02:01:04 YVR SA 0200  45 FEW 100 FEW 220 FEW 30 085/13.1/7.0/1404/CB1AC1CI1 RMK HZ CB DIST SW - W QUAD SHRS DIST NE QUAD UNOFF
2005/10/02 03:01:23 YVR SA 0300  75 FEW 30 089/10.8/7.9/0905/AC3 5006  UNOFF
2005/10/02 04:01:15 YVR SA 0400  70 SCT M80 BKN 20 094/10.9/8.7/0906/AC4AC3  UNOFF
2005/10/02 05:01:08 YVR SA 0500  45 SCT M80 BKN 20 095/11.3/8.2/1009/SC4AC3  UNOFF
2005/10/02 06:02:32 YVR SA 0600  50 FEW 80 SCT 20 097/10.6/8.0/0910/SC2AC3 5008  UNOFF
2005/10/02 07:01:03 YVR SA 0700  50 FEW 80 FEW 20 097/9.8/7.9/0911/SC1AC1  UNOFF
2005/10/02 08:01:35 YVR SA 0800  50 FEW 80 FEW 210 FEW 20 102/9.8/8.0/1208/SC1AC1CI1  UNOFF
2005/10/02 09:01:25 YVR SA 0900  15 FEW 50 FEW 80 SCT 15 106/9.5/8.3/1010/SC2SC1AC1 5009 RMK VIS N QUAD LWR 10 UNOFF
2005/10/02 10:01:07 YVR SA 1000  15 FEW 30 SCT M80 BKN 10 106/10.0/8.0/1209/SC1SC3AC2  UNOFF
2005/10/02 11:01:06 YVR SA 1100  15 FEW 55 FEW 230 SCT 10 103/9.1/7.3/0909/SC1SC2CI1  UNOFF
2005/10/02 12:01:56 YVR SA 1200  45 FEW M75 BKN 230 BKN 15 102/9.5/7.2/1008/SC3AC4CI1 0004  UNOFF
2005/10/02 12:53:16 YVR SP 1250  50 FEW 75 SCT 15SHRA- /9.5//1107/SC3AC2  UNOFF
2005/10/02 13:01:02 YVR SA 1300  50 FEW 75 SCT 15SHRA- 101/9.4/7.7/1107/SC2AC3  UNOFF
2005/10/02 13:09:41 YVR SP 1307  50 FEW 75 SCT 15 /9.4//1008/SC2AC3  UNOFF
2005/10/02 13:23:03 YVR SP 1307  50 SCT M75 BKN 15 /9.4//1008/SC4AC4  UNOFF
2005/10/02 14:04:06 YVR SA 1400  30 FEW M33 BKN 63 OVC 15 096/9.7/7.9/0809/SF1SC5SC3  UNOFF
2005/10/02 15:00:51 YVR SA 1500  30 FEW M33 BKN 65 OVC 15 095/9.8/8.0/1008/SF1SC5SC3 7007  UNOFF
2005/10/02 16:00:43 YVR SA 1600  33 SCT M58 BKN 65 OVC 15 094/10.5/7.9/1010/SC4SC3SC2  UNOFF
2005/10/02 17:00:53 YVR SA 1700  33 SCT M48 BKN 65 OVC 15 091/11.6/7.9/0915/SC4SC4SC1  UNOFF
2005/10/02 18:01:52 YVR SA 1800  M47 BKN 120 OVC 15 088/13.1/7.2/1015/SC7AC2 7007  UNOFF
2005/10/02 19:01:51 YVR SA 1900  M47 BKN 70 OVC 15 087/12.9/7.1/0914/SC7AC2  UNOFF
2005/10/02 19:15:20 YVR SP 1914  M47 BKN 70 OVC 15SHRA- /12.9//0914/SC8AC2  UNOFF
2005/10/02 20:00:36 YVR SA 2000  45 FEW M51 OVC 15SHRA- 087/12.0/8.1/0910G16/SC2SC8  UNOFF
2005/10/02 21:00:58 YVR SA 2100  45 SCT M51 OVC 12RA- 095/11.8/8.8/1311G21/SC4SC6 5007  UNOFF
2005/10/02 22:01:33 YVR SA 2200  M47 BKN 55 OVC 10RA- 094/11.0/9.5/0913/SC8SC2  UNOFF
2005/10/02 23:01:51 YVR SA 2300  M34 BKN 45 OVC 10RA- 093/10.6/9.5/1012/SC6SC4 RMK VIS LWR N QUAD 8 SM UNOFF

2005/10/03 00:01:19 YVR SA 0000  27 FEW M34 BKN 45 OVC 15RA- 095/10.6/9.6/0910/SC3SC6SC1 5000 RMK PCPN VRY LGT UNOFF
2005/10/03 01:00:39 YVR SA 0100  20 FEW M25 BKN 35 OVC 15RA- 095/10.4/9.5/0914/SC3SC5SC2 RMK PCPN VRY LGT UNOFF
2005/10/03 01:20:57 YVR SP 0119  20 FEW M25 BKN 33 OVC 15 /10.3//0911/SC3SC6SC1  UNOFF
2005/10/03 01:39:42 YVR SP 0138  20 FEW M25 BKN 33 OVC 15SHRA- /10.1//0910G15/SF2SC7SC1  UNOFF
2005/10/03 02:01:21 YVR SA 0200  20 FEW M25 OVC 10SHRA- 095/9.9/8.9/1012/SF2SC8  UNOFF
2005/10/03 02:16:58 YVR SP 0214  20 FEW M25 BKN 50 OVC 11SHRA /9.8//0912/SF3SC6SC1 RMK VIS LWR N QUAD 6 UNOFF
2005/10/03 03:01:34 YVR SA 0300  15 FEW M25 BKN 46 OVC 8SHRA 098/9.7/8.9/0908/SF3SC5SC2 5003  UNOFF
2005/10/03 04:01:39 YVR SA 0400  14 SCT M25 BKN 46 OVC 10 100/9.5/9.0/0911/SF5SC3SC2  UNOFF
2005/10/03 05:01:09 YVR SA 0500  20 SCT M60 OVC 15 106/9.6/9.1/1011/SC5SC5  UNOFF
2005/10/03 06:02:11 YVR SA 0600  9 SCT M25 BKN 60 OVC 15 111/9.5/8.9/1010/SF5SC2SC3 2013  UNOFF
2005/10/03 07:01:33 YVR SA 0700  12 FEW 20 SCT M80 BKN 140 OVC 15SHRA- 115/9.5/8.9/0911/SF2SC3AC3AC2  UNOFF
2005/10/03 08:01:09 YVR SA 0800  20 FEW M60 BKN 140 BKN 15SHRA- 117/9.8/8.7/1010/SF2SC5AC2 RMK SHRA VRY LGT UNOFF
2005/10/03 08:19:14 YVR SP 0817  20 FEW M50 BKN 15 /9.1//1009/SC3SC4  UNOFF
2005/10/03 09:01:16 YVR SA 0900  20 FEW M50 BKN 77 BKN 15 122/8.9/8.5/0906/SC2SC4AC2 2011  UNOFF
2005/10/03 10:01:00 YVR SA 1000  14 FEW 30 SCT M50 BKN 90 BKN 15 126/9.2/8.5/0909/SF2SC3SC3AC1  UNOFF
2005/10/03 10:32:47 YVR SP 1030  15 FEW M45 BKN 60 BKN 15SHRA- /9.0//1010/SF2SC5SC2  UNOFF
2005/10/03 10:55:13 YVR SP 1054  20 FEW 50 SCT M90 BKN 15 /8.8//0910/SF2SC2AC3  UNOFF
2005/10/03 11:01:01 YVR SA 1100  20 FEW 50 SCT M90 BKN 15 128/8.7/8.1/1008/SF2SC2AC3  UNOFF
2005/10/03 12:01:46 YVR SA 1200  20 FEW 50 FEW M100 BKN 15SHRA- 130/7.6/7.1/1007/SF1SC2AC4 2008 RMK SHRA VRY LGT UNOFF
2005/10/03 12:19:15 YVR SP 1218  20 FEW 50 FEW M100 BKN 15 /8.0//0907/SF1SC1AC5  UNOFF
2005/10/03 13:01:30 YVR SA 1300  20 FEW 60 FEW M90 BKN 15 135/7.4/7.0/0703/SF1SC1AC5  UNOFF
2005/10/03 14:03:07 YVR SA 1400  21 SCT M60 BKN 90 BKN 15 139/7.9/7.5/1105/SC4SC2AC1  UNOFF
2005/10/03 15:04:09 YVR SA 1500  M23 BKN 60 BKN 90 BKN 15 145/9.1/8.5/0803/SC6SC2AC1 2015  UNOFF
2005/10/03 16:00:41 YVR SA 1600  25 SCT M60 BKN 90 BKN 15 150/10.5/8.8/0703/SC5SC3AC1  UNOFF
2005/10/03 17:02:00 YVR SA 1700  M29 BKN 60 BKN 15 155/10.5/8.9/1604/SC7SC1 RMK TCU EMBD UNOFF
2005/10/03 18:02:29 YVR SA 1800  29 FEW 80 SCT 20 156/12.5/7.9/2705/CU3AC1 1011 RMK TCU ASOCTD UNOFF
2005/10/03 19:01:29 YVR SA 1900  27 SCT 80 SCT 20 158/13.1/8.6/3007/TCU4AC1  UNOFF
2005/10/03 20:03:15 YVR SA 2000  20 FEW 40 SCT M80 BKN 20 161/12.8/8.0/3006/CU2TCU3AC2  UNOFF
2005/10/03 21:02:15 YVR SA 2100  40 FEW 70 SCT 20 162/14.0/8.7/3009/TCU3AC1 2006  UNOFF
2005/10/03 22:00:08 YVR SA 2200  40 FEW 140 FEW 30 164/13.5/8.7/2909/CU1AC1  UNOFF
2005/10/03 22:00:36 YVR SA 2200  40 FEW 140 FEW 30 164/13.5/8.7/2909/CU1AC1 RMK TCU ASOCTD UNOFF
2005/10/03 23:02:15 YVR SA 2300  40 FEW 220 -FEW 30 168/13.4/8.7/2909/CU1CI0 RMK TCU ASOCTD UNOFF

2005/10/04 00:01:12 YVR SA 0000  40 FEW 220 -FEW 30 171/13.0/8.0/2907/CU1CI1 2009 RMK TCU ASOCTD UNOFF
2005/10/04 01:00:39 YVR SA 0100  40 FEW 220 FEW 30 176/12.1/8.0/3008/CU1CI1  UNOFF
2005/10/04 02:00:50 YVR SA 0200  220 -FEW 30 180/10.0/7.2/3008/CI1  UNOFF
2005/10/04 03:03:33 YVR SA 0300  220 -FEW 30 185/9.7/7.4/3007/CI1 2014  UNOFF
2005/10/04 04:03:08 YVR SA 0400  220 -FEW 30 190/8.7/7.4/3007/CI2  UNOFF
2005/10/04 05:01:11 YVR SA 0500  210 -FEW 30 198/8.9/7.5/1103/CI2  UNOFF
2005/10/04 06:02:25 YVR SA 0600  210 -FEW 30 205/9.0/7.4/0902/CI1 2020  UNOFF
2005/10/04 07:00:21 YVR SA 0700  210 -FEW 20 211/8.6/6.6/0404/CI1  UNOFF
2005/10/04 08:01:14 YVR SA 0800  210 -FEW 20 219/8.2/6.7/0303/CI1  UNOFF
2005/10/04 09:01:07 YVR SA 0900  210 -FEW 20 223/7.3/5.9/0903/CI1 2018  UNOFF
2005/10/04 10:00:49 YVR SA 1000  210 -FEW 20 230/6.1/5.9/0905/CI1  UNOFF
2005/10/04 11:03:25 YVR SA 1100  210 -FEW 20 234/6.4/5.9/0702/CI1  UNOFF
2005/10/04 12:01:27 YVR SA 1200  210 -FEW 20 238/6.2/5.6/0000/CI1 2015  UNOFF
2005/10/04 13:01:56 YVR SA 1300  M15 BKN 20 245/6.6/5.8/0403/SC9  UNOFF
2005/10/04 13:09:45 YVR SP 1307  M13 BKN 20 /6.9//0505/SC8  UNOFF
2005/10/04 13:44:01 YVR SP 1340  12 SCT 220 -BKN 20 /6.8//0704/SF5CI0  UNOFF
2005/10/04 14:02:43 YVR SA 1400  12 FEW 220 SCT 15 246/5.5/4.7/0905/SF3CI1 RMK LO CLD OVR GASTR UNOFF
2005/10/04 15:01:10 YVR SA 1500  12 FEW 40 FEW 220 SCT 20 251/6.3/5.8/0905/SF2SC1CI1 2013 RMK LO CLD OVR GASTR UNOFF
2005/10/04 16:03:13 YVR SA 1600  13 FEW M45 BKN 220 BKN 20 255/8.3/7.2/0907/SF3SC3CI0  UNOFF
2005/10/04 17:00:55 YVR SA 1700  14 FEW 35 SCT M47 BKN 210 BKN 20 256/10.4/8.2/0907/SF2SC2SC2CI0  UNOFF
2005/10/04 18:00:57 YVR SA 1800  15 FEW 35 FEW M50 BKN 220 BKN 20 257/11.3/8.1/1208/SF2SC1SC5CI0 1006  UNOFF
2005/10/04 19:02:17 YVR SA 1900  15 FEW 35 FEW M50 BKN 220 BKN 20 256/12.9/8.0/1505/SF1SC1SC5CI1  UNOFF
2005/10/04 20:01:41 YVR SA 2000  15 FEW 40 FEW M52 BKN 220 BKN 20 256/13.5/7.6/1505/SF2SC1SC4CI0  UNOFF
2005/10/04 21:01:42 YVR SA 2100  17 FEW 45 FEW 220 -BKN 20 250/14.6/7.5/1308/CF1CU2CI1 0007  UNOFF
2005/10/04 22:02:39 YVR SA 2200  45 FEW 220 -BKN 20 245/14.8/7.4/1405/CU2CI2  UNOFF
2005/10/04 23:00:07 YVR SA 2300  45 FEW M200 BKN 20 240/15.0/8.0/1205/CU1CI5  UNOFF

2005/10/05 00:02:38 YVR SA 0000  45 FEW 200 -BKN 20 239/14.6/6.8/1505/CU1CI4 6011  UNOFF
2005/10/05 01:00:22 YVR SA 0100  50 FEW 150 SCT M200 BKN 20 236/14.0/8.0/2002/CF1AC4CI3  UNOFF
2005/10/05 02:00:40 YVR SA 0200  120 SCT M180 OVC 20 234/13.3/8.4/0203/AC5AS5  UNOFF
2005/10/05 03:04:02 YVR SA 0300  100 SCT M150 OVC 20 233/12.2/8.0/0905/AC4AS6 6006  UNOFF
2005/10/05 04:04:53 YVR SA 0400  100 SCT M140 OVC 20 234/11.9/8.1/0707/AC5AS5  UNOFF
2005/10/05 05:04:55 YVR SA 0500  40 FEW 100 SCT M130 OVC 20 234/12.8/7.7/0807/CF1AC4AS5  UNOFF
2005/10/05 06:04:36 YVR SA 0600  40 FEW M90 BKN 120 OVC 20 234/11.4/7.9/1006/SC2AC5AS3 1001  UNOFF
2005/10/05 07:03:35 YVR SA 0700  50 FEW M90 BKN 110 OVC 20 231/11.5/7.8/1010/SC2AC5AS3  UNOFF
2005/10/05 08:00:19 YVR SA 0800  M67 BKN 89 OVC 20 231/11.7/8.0/0909/AC6AC4  UNOFF
2005/10/05 09:03:38 YVR SA 0900  M71 BKN 92 OVC 20 229/11.4/7.9/0905/AC7AC3 7005  UNOFF
2005/10/05 10:01:22 YVR SA 1000  40 FEW M76 BKN 100 OVC 20 227/11.6/8.5/1107/SC2AC6AC2  UNOFF
2005/10/05 11:01:45 YVR SA 1100  40 FEW M72 BKN 97 OVC 20 223/11.3/8.4/0906/SC3AC5AC2  UNOFF
2005/10/05 11:43:50 YVR SP 1141  40 FEW M64 BKN 85 OVC 20SHRA- /11.2//0808/SC3SC5AC2  UNOFF
2005/10/05 12:01:29 YVR SA 1200  40 FEW M63 BKN 80 OVC 12SHRA- 219/11.0/8.7/1107/SC3SC6AC1 0010  UNOFF
2005/10/05 12:48:34 YVR SP 1246  40 FEW M63 BKN 93 OVC 15 /10.8//0907/SC2SC4AC4  UNOFF
2005/10/05 13:01:37 YVR SA 1300  40 FEW M64 BKN 87 OVC 15 216/10.7/9.1/0906/SC2SC4AC4  UNOFF
2005/10/05 13:42:58 YVR SP 1340  40 FEW M65 BKN 90 BKN 15SHRA- /10.8//1107/SF2SC5AC2  UNOFF
2005/10/05 14:00:34 YVR SA 1400  40 FEW M62 BKN 90 BKN 15SHRA- 219/10.8/9.2/1107/CF2SC6AC1  UNOFF
2005/10/05 15:00:39 YVR SA 1500  40 FEW 60 SCT M85 BKN 15SHRA- 220/11.1/9.6/1206/CF2SC3AC4 5001  UNOFF
2005/10/05 16:00:19 YVR SA 1600  40 FEW 61 SCT M84 OVC 15SHRA- 221/11.5/10.1/0906/CF1SC4AC5  UNOFF
2005/10/05 17:02:06 YVR SA 1700  M65 BKN 85 OVC 15VCSH 220/12.4/10.2/0806/SC6AC3  UNOFF
2005/10/05 18:00:35 YVR SA 1800  40 FEW M62 BKN 90 OVC 15 221/13.6/9.8/0906/SF1SC6AC2 2001  UNOFF
2005/10/05 18:49:48 YVR SP 1847  50 FEW M64 BKN 80 OVC 15SHRA- /14.3//1104/SF1SC7AC2  UNOFF
2005/10/05 19:01:31 YVR SA 1900  50 FEW M63 BKN 80 OVC 15SHRA- 222/14.5/10.5/0902/SF1SC6AC3  UNOFF
2005/10/05 20:04:31 YVR SA 2000  45 FEW M61 BKN 80 OVC 15SHRA- 223/15.2/9.5/0504/SF1SC7AC2  UNOFF
2005/10/05 21:00:49 YVR SA 2100  40 FEW M63 BKN 90 OVC 15SHRA- 222/16.1/7.5/1206/SF1SC7AC2 0001  UNOFF
2005/10/05 21:25:48 YVR SP 2124  40 FEW M58 BKN 80 OVC 15 /15.8//1002/SF1SC7AC2  UNOFF
2005/10/05 21:49:27 YVR SP 2148  40 FEW M52 BKN 80 OVC 15SHRA- /15.8//0903/SF1SC8AC1  UNOFF
