2005/04/05 00:04:42 YVR SA 0000  44 SCT E80 BKN 15 193/11.5/-0.1/1805/SC5AC1 2005 RMK TCU EMBD UNOFF
2005/04/05 01:04:38 YVR SA 0100  45 FEW 80 FEW 15 198/10.8/0.8/1410/TCU2AC1 RMK SH DIST N UNOFF
2005/04/05 02:01:12 YVR SA 0200  45 FEW 80 -SCT 200 -BKN 15 200/9.8/2.9/1610/SC1AC1CI1 RMK SH DIST NE UNOFF
2005/04/05 03:01:24 YVR SA 0300  37 FEW 80 -SCT 220 -BKN 15 206/8.6/3.0/1410/SC1AC1CI0 5013 RMK SH DIST N UNOFF
2005/05/04 20:22:30 YVR SP 2019  8 FEW M29 OVC 8DZ- ///0706/SF3SC7  UNOFF
2005/05/04 20:48:06 YVR SP 2045  8 FEW M29 OVC 8 ///0706/SF2SC8  UNOFF
2005/05/04 21:01:47 YVR SA 2100  8 FEW M27 OVC 10SHRA- 152/14.8/12.3/0607/SF1SC9 0004  UNOFF
2005/05/04 21:34:19 YVR SP 2132  8 FEW M29 OVC 12 ///0906/SF2SC8  UNOFF
2005/05/04 22:03:02 YVR SA 2200  M22 BKN 40 OVC 15 152/16.2/11.5/0806/SC7SC3  UNOFF
2005/05/04 23:01:49 YVR SA 2300  M26 BKN 40 OVC 15 150/16.4/10.8/1106/SC7SC3  UNOFF

2005/05/05 00:02:25 YVR SA 0000  M26 BKN 40 BKN 67 OVC 15 147/16.6/10.7/1304/SC6SC2AC1 0005  UNOFF
2005/05/05 01:01:44 YVR SA 0100  M29 BKN 40 OVC 15 149/13.6/12.0/2710/SC7SC3  UNOFF
2005/05/05 02:00:56 YVR SA 0200  30 -SCT 60 -BKN M80 BKN 15 144/15.0/12.2/3005/SC3SC2AC2  UNOFF
2005/05/05 03:01:07 YVR SA 0300  30 FEW 65 SCT M77 BKN 15 144/14.0/12.2/3007/SC1SC3AC3 0003  UNOFF
2005/05/05 04:01:00 YVR SA 0400  M70 BKN 15 148/13.3/11.9/2905/AC9  UNOFF
2005/05/05 05:01:13 YVR SA 0500  M30 BKN 70 BKN 85 OVC 15 151/12.8/11.7/2906/SC6AC1AC2  UNOFF
2005/05/05 06:01:05 YVR SA 0600  M73 BKN 95 OVC 15 152/12.8/11.8/3006/AC6AC2 1008  UNOFF
2005/05/05 07:01:09 YVR SA 0700  65 -SCT 95 -BKN 15 153/12.6/11.5/3007/SC3AC1  UNOFF
2005/05/05 08:00:54 YVR SA 0800  65 FEW 15 150/11.3/10.2/3105/SC2  UNOFF
2005/05/05 09:01:29 YVR SA 0900  65 FEW 15 148/11.7/10.6/0000/SC1 7004  UNOFF
2005/05/05 10:01:05 YVR SA 1000  65 FEW 15 146/11.0/10.0/3504/SC1  UNOFF
2005/05/05 11:01:01 YVR SA 1100  65 FEW 15 145/10.8/10.0/3104/SC1  UNOFF
2005/05/05 12:01:15 YVR SA 1200  65 FEW 220 -SCT 15 144/10.2/9.4/3502/SC1CI1 7004  UNOFF
2005/05/05 13:01:20 YVR SA 1300  65 FEW M230 BKN 15 141/11.0/10.2/3008/SC1CS5  UNOFF
2005/05/05 13:57:33 YVR SP 1354  8 SCT M210 OVC 15 ///3307/SC4CI3 RMK VIS W 8 UNOFF
2005/05/05 14:02:19 YVR SA 1400  M8 BKN 210 OVC 15 142/11.8/10.9/3107/SC7CI3 RMK VIS W 8 UNOFF
2005/05/05 14:28:07 YVR SP 1427  6 SCT M210 OVC 15 ///3010/SC4CI2  UNOFF
2005/05/05 15:02:52 YVR SA 1500  8 FEW 210 -OVC 15 140/13.0/11.4/3011/SC1CI4 7004  UNOFF
2005/05/05 16:03:08 YVR SA 1600  35 FEW 220 -OVC 15 136/13.9/11.4/3012/SC1CI3  UNOFF
2005/05/05 17:02:45 YVR SA 1700  40 FEW 240 -OVC 15 132/14.4/12.0/3014/SC1CS3  UNOFF
2005/05/05 17:44:22 YVR SP 1742  8 FEW 40 FEW 240 -BKN 15 ///3014/CF1SC1CS2  UNOFF
2005/05/05 18:03:12 YVR SA 1800  8 SCT 40 SCT M240 OVC 15 129/14.7/12.3/2914/SC4SC1CS1 7011  UNOFF
2005/05/05 19:03:34 YVR SA 1900  9 FEW 40 FEW 240 -BKN 15 117/15.6/13.0/2917/SC1TCU1CS2  UNOFF
2005/05/05 20:02:49 YVR SA 2000  40 FEW 220 -FEW 15 116/16.0/13.2/3015/TCU1CI0  UNOFF
2005/05/05 21:06:02 YVR SA 2100  40 FEW 15 110/16.7/13.3/2914/TCU1 0019  UNOFF
2005/05/05 22:02:20 YVR SA 2200  40 FEW 220 FEW 15 102/17.5/13.3/3015/TCU1CS1  UNOFF
2005/05/05 23:03:21 YVR SA 2300  40 FEW 220 FEW 15 094/17.6/13.5/3015/TCU1CS1  UNOFF

2005/05/06 00:04:25 YVR SA 0000  40 FEW 15 087/17.7/12.4/3011/TCU1 7023  UNOFF
2005/05/06 01:02:21 YVR SA 0100  40 FEW 220 FEW 15 079/17.0/12.3/3010/TCU1CS1  UNOFF
2005/05/06 02:00:57 YVR SA 0200  40 FEW 220 FEW 20 074/16.4/11.7/3010/CU1CI1 RMK TCU ASOCTD UNOFF
2005/05/06 03:01:02 YVR SA 0300  40 FEW 220 -FEW 20 070/15.3/10.9/2909/CU1CI1 7017 RMK TR CU UNOFF
2005/05/06 04:01:28 YVR SA 0400  220 FEW 20 069/14.1/10.4/2910/CI1  UNOFF
2005/05/06 05:01:08 YVR SA 0500  220 FEW 20 073/13.7/10.3/3007/CI1  UNOFF
2005/05/06 06:00:54 YVR SA 0600  220 FEW 20 074/14.5/10.2/0000/CI1 5004  UNOFF
2005/05/06 07:00:59 YVR SA 0700  220 FEW 20 074/14.0/9.4/0000/CI1  UNOFF
2005/05/06 08:00:54 YVR SA 0800  220 FEW 20 074/10.6/8.2/1106/CI1  UNOFF
2005/05/06 09:01:00 YVR SA 0900  CLR 15 072/9.3/8.3/0906/ 7002  UNOFF
2005/05/06 10:01:05 YVR SA 1000  CLR 15 070/10.1/9.0/1007/  UNOFF
2005/05/06 11:01:03 YVR SA 1100  CLR 15 070/9.7/8.6/0704/  UNOFF
2005/05/06 12:01:12 YVR SA 1200  220 FEW 15 070/10.4/8.8/3405/CI1 5002  UNOFF
2005/05/06 13:01:10 YVR SA 1300  75 -SCT 15 074/9.9/8.4/0000/AC2  UNOFF
2005/05/06 14:01:33 YVR SA 1400  M64 BKN 160 BKN 15 075/11.2/9.2/0000/SC8AC1  UNOFF
2005/05/06 15:07:04 YVR SA 1500  60 SCT M91 BKN 15 077/12.5/9.7/1002/SC4AC4 2007  UNOFF
2005/05/06 16:02:45 YVR SA 1600  M58 BKN 90 OVC 15 078/13.3/10.3/1103/SC6AC2  UNOFF
2005/05/06 17:02:39 YVR SA 1700  M15 OVC 10 078/14.0/10.5/1304/SC10  UNOFF
2005/05/06 18:03:05 YVR SA 1800  M15 BKN 80 BKN 10 079/14.6/11.1/0906/SC6AC3 5002  UNOFF
2005/05/06 18:47:40 YVR SP 1844  15 SCT M86 BKN 12 ///0905/SC5AC1  UNOFF
2005/05/06 19:03:50 YVR SA 1900  19 SCT M85 BKN 12 081/17.0/11.2/2408/SC5AC2  UNOFF
2005/05/06 20:03:11 YVR SA 2000  24 SCT M84 BKN 12 082/16.6/9.7/2407/SC5AC2  UNOFF
2005/05/06 21:01:05 YVR SA 2100  30 FEW 85 SCT 15 081/18.1/9.2/1405/SC3AC1 1002  UNOFF
2005/05/06 22:03:20 YVR SA 2200  35 FEW 80 FEW 15 083/18.5/10.0/1212/TCU2AC1  UNOFF
2005/05/06 23:01:01 YVR SA 2300  40 FEW 76 SCT 15 085/18.1/9.5/1311/TCU1AC4  UNOFF

2005/05/07 00:04:06 YVR SA 0000  40 FEW 80 SCT 15 084/17.7/9.2/1410G15/TCU1AC3 0003  UNOFF
2005/05/07 01:03:51 YVR SA 0100  40 FEW 80 FEW 15 084/17.5/9.2/1310/TCU1AC1  UNOFF
2005/05/07 02:00:49 YVR SA 0200  40 FEW 20 084/16.6/9.1/1210/CU1 RMK TCU ASOCTD UNOFF
2005/05/07 03:01:02 YVR SA 0300  40 FEW 20 088/14.8/8.7/0910/SC1 5004  UNOFF
2005/05/07 04:01:01 YVR SA 0400  40 FEW 20 095/12.8/7.6/0909/CF1 RMK TR CF UNOFF
2005/05/07 05:01:22 YVR SA 0500  40 FEW 15 102/12.1/6.4/0909/SC1 RMK TR SC UNOFF
2005/05/07 06:01:15 YVR SA 0600  CLR 15 107/11.0/5.3/0909/ 2019  UNOFF
2005/05/07 07:01:20 YVR SA 0700  CLR 15 113/10.5/4.5/1011/  UNOFF
2005/05/07 08:00:59 YVR SA 0800  CLR 15 118/9.6/5.7/0910/  UNOFF
2005/05/07 09:01:36 YVR SA 0900  55 -SCT 15 124/10.8/5.9/1210/SC3 2017  UNOFF
2005/05/07 10:00:59 YVR SA 1000  M55 BKN 15 127/9.8/5.1/1010/SC8  UNOFF
2005/05/07 11:04:05 YVR SA 1100  40 FEW 65 -BKN 15 133/10.1/5.7/1108/SC2SC2  UNOFF
2005/05/07 12:01:32 YVR SA 1200  M45 BKN 65 OVC 15 136/10.2/6.1/1009/SC7SC2 2012  UNOFF
2005/05/07 13:01:10 YVR SA 1300  37 FEW M45 BKN 15 141/10.5/6.1/1009/SC3SC4  UNOFF
2005/05/07 14:02:09 YVR SA 1400  M35 BKN 60 OVC 15 146/11.1/6.6/1009/SC9SC1  UNOFF
2005/05/07 15:04:15 YVR SA 1500  M37 OVC 15 149/11.8/6.5/1208/SC10 1013  UNOFF
2005/05/07 16:02:16 YVR SA 1600  20 FEW M36 OVC 15 150/12.4/7.3/0906/CU1SC9  UNOFF
2005/05/07 17:03:04 YVR SA 1700  24 FEW M35 BKN 53 OVC 15 152/12.8/6.5/1307/CU1SC8SC1  UNOFF
2005/05/07 18:03:16 YVR SA 1800  M32 BKN 58 OVC 15 152/13.8/6.7/1404/SC6SC4 1003  UNOFF
2005/05/07 19:04:59 YVR SA 1900  M32 BKN 58 OVC 15 152/14.1/7.0/1204/SC7SC3  UNOFF
2005/05/07 20:03:08 YVR SA 2000  M32 BKN 220 OVC 15 148/14.7/7.3/1407/SC7CI0  UNOFF
2005/05/07 21:05:32 YVR SA 2100  36 FEW 110 SCT M230 OVC 15 149/15.2/7.1/1411/SC3AC1CS3 5003  UNOFF
2005/05/07 22:02:46 YVR SA 2200  38 FEW 110 FEW M230 OVC 15 145/15.6/7.5/1608/SC1AC1CS6  UNOFF
2005/05/07 23:01:43 YVR SA 2300  38 FEW 100 FEW M220 OVC 15 141/15.7/7.3/1809/SC1AC1CS6  UNOFF

2005/05/08 00:04:14 YVR SA 0000  40 FEW 160 SCT M220 OVC 15 138/15.3/6.6/1706/SC1AC3CS6 7011  UNOFF
2005/05/08 01:02:26 YVR SA 0100  40 FEW 120 FEW M180 BKN 220 OVC 15 133/15.2/6.9/1507/SC1AC2AS6CI0  UNOFF
2005/05/08 02:01:05 YVR SA 0200  40 FEW 180 -SCT 230 -OVC 15 129/14.9/6.4/1406/SC1AC1CI2  UNOFF
2005/05/08 03:01:01 YVR SA 0300  40 FEW 180 -SCT 230 -OVC 15 127/14.1/6.6/1306/CU1AC1CI2 7011 RMK TR CU UNOFF
2005/05/08 04:01:09 YVR SA 0400  190 -SCT 230 -OVC 15 128/13.3/6.1/1205/AC2CI2  UNOFF
2005/05/08 05:01:31 YVR SA 0500  190 -SCT 230 -OVC 15 129/12.0/6.3/1203/AC2CI1  UNOFF
2005/05/08 06:01:04 YVR SA 0600  190 -BKN 230 -BKN 15 127/11.7/6.6/0000/AC3CI0 0000  UNOFF
2005/05/08 07:01:27 YVR SA 0700  160 -SCT 180 -BKN 15 124/12.0/6.9/0000/AC2AC2  UNOFF
2005/05/08 08:01:18 YVR SA 0800  180 -SCT 230 -OVC 15 123/11.6/7.0/0000/AC3CI2  UNOFF
2005/05/08 09:01:10 YVR SA 0900  150 -SCT 230 -OVC 15 117/10.6/6.8/0305/AC2CI2 0010  UNOFF
2005/05/08 10:02:27 YVR SA 1000  M190 BKN 230 OVC 15 113/10.3/6.4/0202/AC6CI1  UNOFF
2005/05/08 11:01:48 YVR SA 1100  70 SCT M180 BKN 230 OVC 15 110/10.1/6.1/0000/AC4AC2CI1  UNOFF
2005/05/08 12:01:18 YVR SA 1200  180 SCT M230 OVC 15 106/10.1/6.5/0503/AC4CS6 7011  UNOFF
2005/05/08 13:01:01 YVR SA 1300  70 FEW 180 FEW M230 OVC 15 105/9.1/6.4/0402/CF1AC2CS7  UNOFF
2005/05/08 13:01:01 YVR SA 1300  60 FEW 180 FEW M230 OVC 15 105/9.1/6.4/0402/CF1AC2CS7  UNOFF
Warning: at line 911: duplicated data: prev hr = 5 PST  current hr = 5 PST
2005/05/08 14:04:54 YVR SA 1400  80 SCT M170 BKN 230 OVC 15 106/10.5/7.4/0000/AC4AS3CS3  UNOFF
2005/05/08 15:04:14 YVR SA 1500  80 FEW 180 FEW M230 OVC 15 108/12.3/8.2/0000/AC1AS2CS3 5002  UNOFF
2005/05/08 16:04:17 YVR SA 1600  80 FEW 220 -OVC 15 108/13.4/9.7/2202/AC2CS3  UNOFF
2005/05/08 17:04:03 YVR SA 1700  100 FEW M230 OVC 15 108/13.8/9.3/2505/AC3CS3  UNOFF
2005/05/08 18:01:10 YVR SA 1800  M100 BKN 230 OVC 15 107/13.7/9.1/2405/AC6CS4 0001  UNOFF
2005/05/08 18:41:13 YVR SP 1837  50 FEW M84 BKN 230 OVC 15SHRA- ///2506/SC1AC7CS2  UNOFF
2005/05/08 19:03:53 YVR SA 1900  40 FEW M86 BKN 210 OVC 15SHRA- 108/13.1/9.9/2607/SC2AC7CS1  UNOFF
2005/05/08 20:03:24 YVR SA 2000  55 SCT M78 BKN 150 OVC 8SHRA- 108/14.3/10.2/3004/SC4AC4AS2 RMK PCPN VRY LGT UNOFF
2005/05/08 21:03:50 YVR SA 2100  15 FEW 50 SCT M73 OVC 12SHRA- 107/14.0/10.3/3005/SC1SC3AC6 0000  UNOFF
2005/05/08 21:55:03 YVR SP 2151  15 FEW 50 SCT M72 OVC 12 ///3503/SC1SC3AC6  UNOFF
2005/05/08 22:03:00 YVR SA 2200  15 FEW 50 SCT M72 OVC 15 103/14.7/11.2/0204/SC1SC3AC6  UNOFF
2005/05/08 23:01:50 YVR SA 2300  50 FEW M69 OVC 15 096/15.6/8.6/3204/SC3AC7  UNOFF

2005/05/09 00:03:01 YVR SA 0000  M73 OVC 15 093/14.6/10.7/2810/AC10 6014  UNOFF
2005/05/09 01:01:36 YVR SA 0100  M78 BKN 140 OVC 15 090/13.9/10.3/3011/AC7AC2  UNOFF
2005/05/09 02:01:02 YVR SA 0200  M77 BKN 130 OVC 15 086/13.8/9.5/2908/AC7AC2  UNOFF
2005/05/09 03:03:39 YVR SA 0300  M80 BKN 130 BKN 15 084/13.5/10.8/2910/AC7AC2 7009  UNOFF
2005/05/09 04:02:35 YVR SA 0400  79 SCT M150 BKN 15 084/13.1/10.9/2911/AC4AC4  UNOFF
2005/05/09 04:47:56 YVR SP 0445  M70 BKN 140 BKN 15SHRA- ///2808/AC7AC1  UNOFF
2005/05/09 05:02:33 YVR SA 0500  50 FEW M70 BKN 140 OVC 15SHRA- 091/13.1/11.0/2906/SC3AC4AC2  UNOFF
2005/05/09 06:01:34 YVR SA 0600  20 FEW M68 BKN 100 OVC 10RA- 085/12.8/11.6/2810G15/SF1AC7AC2 0001  UNOFF
2005/05/09 07:03:54 YVR SA 0700  20 FEW M70 BKN 100 OVC 10RA- 079/12.5/11.4/3013/SF1AC8AC1  UNOFF
2005/05/09 08:04:01 YVR SA 0800  7 FEW M70 BKN 100 OVC 8RA- 075/12.8/12.0/3115/SF1AC7AC2  UNOFF
2005/05/09 09:04:16 YVR SA 0900  6 FEW M70 BKN 110 OVC 8RA- 071/12.5/11.5/3011G16/SF1AC7AC2 7014  UNOFF
2005/05/09 10:02:09 YVR SA 1000  7 SCT M70 BKN 110 OVC 6RA- 069/12.5/11.6/3110/SF4AC4AC2  UNOFF
2005/05/09 10:05:32 YVR SP 1004  M7 BKN 70 OVC 6RA- ///3110/SF6AC4  UNOFF
2005/05/09 11:01:41 YVR SA 1100  6 FEW M11 BKN 70 OVC 5RA-FG 063/12.5/11.6/3109/SF2SF5AC3  UNOFF
2005/05/09 11:42:50 YVR SP 1140  7 FEW 12 SCT M60 BKN 90 OVC 6RA- ///3112/SF2SF2SC4AC2  UNOFF
2005/05/09 12:03:07 YVR SA 1200  6 FEW 12 FEW M70 BKN 90 OVC 8RA- 054/12.4/11.6/3010/SF2SF1AC4AC3 0017  UNOFF
2005/05/09 12:45:53 YVR SP 1244  6 FEW 15 FEW M71 BKN 90 OVC 10 ///3011/SF2SF1AC5AC2  UNOFF
2005/05/09 13:01:59 YVR SA 1300  6 FEW 15 FEW M70 BKN 84 OVC 12SHRA- 052/12.3/11.4/2912/SF2SF1AC5AC2  UNOFF
2005/05/09 13:46:54 YVR SP 1343  6 FEW 15 FEW M77 BKN 120 OVC 12 ///3019/SF2SF1AC4AC3  UNOFF
2005/05/09 14:02:48 YVR SA 1400  8 FEW 15 FEW M84 BKN 130 OVC 12 047/12.3/11.4/3016G21/SF2SF1AC3AC4  UNOFF
2005/05/09 15:05:13 YVR SA 1500  8 FEW 15 FEW M81 BKN 110 OVC 12 047/12.8/11.6/3114/SF2SC1AC4AC3 6007  UNOFF
2005/05/09 16:04:29 YVR SA 1600  8 FEW M79 BKN 120 OVC 12 048/13.1/11.9/3016/SF3AC4AC2  UNOFF
2005/05/09 17:03:45 YVR SA 1700  8 FEW 15 SCT M71 BKN 120 BKN 15 045/14.6/13.2/3016/CF3SC1AC2AC2  UNOFF
2005/05/09 18:04:23 YVR SA 1800  11 FEW M74 BKN 120 OVC 15 035/13.8/12.0/3023G28/CF2AC5AC3 0012  UNOFF
2005/05/09 18:37:01 YVR SP 1835  8 FEW M77 BKN 120 OVC 15 ///3017/SC3AC3AC3  UNOFF
2005/05/09 19:03:12 YVR SA 1900  8 FEW M83 BKN 120 BKN 15 035/15.2/13.1/3017G24/SC2AC5AC1  UNOFF
2005/05/09 20:03:15 YVR SA 2000  8 FEW 40 FEW M120 BKN 200 OVC 15 035/15.0/12.6/2921G27/CF1SC1AC4CI2  UNOFF
2005/05/09 21:03:48 YVR SA 2100  45 FEW M120 BKN 200 OVC 15 032/14.5/11.8/3020/SC2AC4CI3 0003  UNOFF
2005/05/09 22:04:21 YVR SA 2200  45 FEW M100 BKN 200 OVC 15 032/14.9/12.0/3018/SC2AC5CI2  UNOFF
2005/05/09 23:04:04 YVR SA 2300  55 SCT M100 OVC 15 029/14.9/11.8/3014G19/SC4AC6  UNOFF

2005/05/10 00:01:59 YVR SA 0000  55 SCT M89 OVC 15 028/15.1/11.7/3112/SC4AC6 0004  UNOFF
2005/05/10 01:02:37 YVR SA 0100  50 SCT M86 OVC 15 027/15.7/12.0/3109/SC4AC6  UNOFF
2005/05/10 01:26:33 YVR SP 0125  50 SCT M84 OVC 15SHRA- ///3210/SC4AC6  UNOFF
2005/05/10 02:02:23 YVR SA 0200  50 SCT M84 BKN 100 BKN 20SHRA- 027/15.7/11.5/3109G16/SC4AC3AC2  UNOFF
2005/05/10 02:30:27 YVR SP 0228  50 FEW M80 BKN 100 BKN 20 ///3108/SC3AC3AC1  UNOFF
2005/05/10 03:01:06 YVR SA 0300  50 FEW M90 BKN 110 BKN 20 029/15.5/11.5/3405/SC3AC4AC1 5001 RMK VIRGA W - NW UNOFF
2005/05/10 04:02:01 YVR SA 0400  50 FEW M80 BKN 100 BKN 20 038/15.9/11.7/1906/SC2AC4AC3  UNOFF
2005/05/10 05:01:26 YVR SA 0500  40 FEW M81 BKN 100 BKN 20 047/15.3/11.0/1603/SC1AC5AC3  UNOFF
2005/05/10 06:03:00 YVR SA 0600  40 FEW M82 BKN 110 BKN 20 054/13.8/10.9/0809/SC1AC5AC3 2025  UNOFF
2005/05/10 07:02:39 YVR SA 0700  40 FEW M85 BKN 110 BKN 20 060/13.4/10.6/0811/SC1AC5AC2  UNOFF
2005/05/10 08:00:59 YVR SA 0800  40 FEW M81 BKN 110 BKN 15 062/13.9/11.2/1108/SC1AC5AC2  UNOFF
2005/05/10 09:04:29 YVR SA 0900  40 FEW M90 BKN 110 BKN 15 070/12.7/10.6/1006/SC1AC5AC2 2016  UNOFF
2005/05/10 10:03:50 YVR SA 1000  12 FEW M90 BKN 120 BKN 12 075/13.7/11.2/1207/SF2AC5AC1  UNOFF
2005/05/10 10:11:56 YVR SP 1011  M11 BKN 90 BKN 120 BKN 12 ///1208/SF6AC2AC1  UNOFF
2005/05/10 11:03:19 YVR SA 1100  M10 BKN 90 BKN 130 OVC 10 085/13.7/11.9/1209/SF7AC2AC1  UNOFF
2005/05/10 11:36:01 YVR SP 1133  10 SCT M90 BKN 140 BKN 12 ///1210/SF4AC3AC1  UNOFF
2005/05/10 12:03:02 YVR SA 1200  10 FEW M100 BKN 140 BKN 12 094/13.0/11.6/1009/SF3AC3AC2 5024  UNOFF
2005/05/10 13:00:46 YVR SA 1300  9 SCT M20 BKN 100 OVC 10 102/13.1/11.9/1108/SF5SC2AC2  UNOFF
2005/05/10 13:09:43 YVR SP 1307  7 FEW M9 BKN 100 OVC 8 ///1108/SF2SF6AC2  UNOFF
2005/05/10 14:03:17 YVR SA 1400  7 FEW M9 OVC 8 111/13.5/12.0/1109/SF2SC8  UNOFF
2005/05/10 15:03:16 YVR SA 1500  M9 BKN 13 OVC 8 120/13.5/11.4/1113/SC6SC4 2026  UNOFF
2005/05/10 15:36:18 YVR SP 1533  9 SCT M15 BKN 40 OVC 10 ///1211/SC4SC5SC1  UNOFF
2005/05/10 16:03:21 YVR SA 1600  9 SCT M15 OVC 10 130/13.7/11.4/1410/SC4SC6  UNOFF
2005/05/10 16:49:02 YVR SP 1648  M9 BKN 15 OVC 10 ///1210/SC8SC2  UNOFF
2005/05/10 17:01:54 YVR SA 1700  M9 BKN 15 OVC 10 138/13.9/11.3/1309/SC8SC2  UNOFF
2005/05/10 17:42:05 YVR SP 1740  M11 BKN 19 OVC 10 ///1109/SC7SC3  UNOFF
2005/05/10 18:03:55 YVR SA 1800  M13 BKN 21 OVC 10 145/15.3/11.8/1207/SC8SC2 2025  UNOFF
2005/05/10 18:35:48 YVR SP 1834  M15 BKN 45 OVC 10 ///1204/SC9SC1  UNOFF
2005/05/10 19:06:46 YVR SA 1900  M18 BKN 40 BKN 10 151/16.2/5.8/1508/SC6SC3  UNOFF
2005/05/10 20:02:29 YVR SA 2000  19 SCT M110 BKN 12 157/17.5/11.8/1409/SC4AC4  UNOFF
2005/05/10 21:05:11 YVR SA 2100  20 FEW 40 FEW M110 BKN 15 162/17.6/10.8/1506/SC1SC2AC5 2017  UNOFF
2005/05/10 22:02:04 YVR SA 2200  40 FEW M110 BKN 15 165/19.2/12.0/2105/SC2AC4  UNOFF
2005/05/10 23:00:45 YVR SA 2300  40 FEW 100 FEW 15 168/18.9/10.6/1308/SC1AC2  UNOFF

2005/05/11 00:02:48 YVR SA 0000  40 FEW 100 FEW 15 172/19.5/11.3/1406/SC1AC2 2010  UNOFF
2005/05/11 01:02:53 YVR SA 0100  40 FEW 100 SCT 15 176/19.0/10.4/1709/SC1AC3  UNOFF
2005/05/11 16:00:57 YVR SA 0200  40 FEW M100 BKN 20 180/18.9/10.6/1507/SC2AC4  UNOFF
Warning: at line 992: rec & nom time differ > 30 min:  rec = 2005-05-11 08:00:57  nom = 2005-05-10 18:00:00
2005/05/11 03:09:09 YVR SA 0300  40 FEW 100 -BKN 20 186/18.1/10.4/1410/SC2AC3 5014  UNOFF
2005/05/11 04:04:43 YVR SA 0400  40 FEW 100 SCT 220 -BKN 20 193/16.8/10.3/1407/SC2AC2CI1  UNOFF
2005/05/11 05:03:48 YVR SA 0500  40 FEW 100 SCT M220 BKN 20 198/15.8/10.4/1309/SC2AC3CI1  UNOFF
2005/05/11 06:10:43 YVR SA 0600  40 FEW 100 SCT 220 BKN 20 201/14.5/10.7/1008/SC2AC3CI1  UNOFF
2005/05/11 16:00:57 YVR SA 0600  40 FEW 100 SCT M220 BKN 20 201/14.5/10.7/1008/SC2AC3CI1 1015  UNOFF
Warning: at line 997: rec & nom time differ > 30 min:  rec = 2005-05-11 08:00:57  nom = 2005-05-10 22:00:00
Warning: at line 997: duplicated data: prev hr = 22 PST  current hr = 22 PST
2005/05/11 07:11:44 YVR SA 0700  40 FEW 100 SCT 220 -BKN 20 204/13.7/10.5/1108/SC1AC3CI1  UNOFF
2005/05/11 08:05:22 YVR SA 0800  40 FEW 90 FEW 120 -BKN 15 208/13.1/10.5/1008/SC2AC1AC2  UNOFF
2005/05/11 09:15:10 YVR SA 0900  25 FEW 50 SCT M70 BKN 100 BKN 15 212/13.4/10.4/1209/SC2SC2AC2AC1 2011 RMK VIA YKA FIC UNOFF
2005/05/11 16:00:57 YVR SA 0900  25 FEW 50 SCT M70 BKN 100 BKN 15 212/13.4/10.4/1209/SC2SC2AC2AC1 2011  UNOFF
Warning: at line 1001: rec & nom time differ > 30 min:  rec = 2005-05-11 08:00:57  nom = 2005-05-11 01:00:00
Warning: at line 1001: duplicated data: prev hr = 1 PST  current hr = 1 PST
2005/05/11 10:03:33 YVR SA 1000  40 FEW M80 BKN 100 BKN 15 216/13.3/10.1/1108/SC3AC4AC1 RMK VIA YKA FIC UNOFF
2005/05/11 16:00:57 YVR SA 1000  40 FEW M80 BKN 100 BKN 15 216/13.3/10.1/1108/SC3AC4AC1  UNOFF
Warning: at line 1003: rec & nom time differ > 30 min:  rec = 2005-05-11 08:00:57  nom = 2005-05-11 02:00:00
Warning: at line 1003: duplicated data: prev hr = 2 PST  current hr = 2 PST
2005/05/11 11:04:59 YVR SA 1100  40 FEW 80 SCT M100 BKN 15 217/12.5/9.8/1009/SC3AC2AC2 RMK VIA YKA FIC UNOFF
2005/05/11 16:00:57 YVR SA 1100  40 FEW 80 SCT M100 BKN 15 217/12.5/9.8/1009/SC3AC2AC2  UNOFF
Warning: at line 1005: rec & nom time differ > 30 min:  rec = 2005-05-11 08:00:57  nom = 2005-05-11 03:00:00
Warning: at line 1005: duplicated data: prev hr = 3 PST  current hr = 3 PST
2005/05/11 12:04:56 YVR SA 1200  20 FEW M40 BKN 90 BKN 15 220/12.5/9.7/1009/SF1SC6AC1 2008 RMK VIA YKA FIC UNOFF
2005/05/11 16:00:57 YVR SA 1200  20 FEW M40 BKN 90 BKN 15 220/12.5/9.7/1009/SF1SC6AC1 2008  UNOFF
Warning: at line 1007: rec & nom time differ > 30 min:  rec = 2005-05-11 08:00:57  nom = 2005-05-11 04:00:00
Warning: at line 1007: duplicated data: prev hr = 4 PST  current hr = 4 PST
2005/05/11 13:16:42 YVR SA 1300  20 FEW M40 BKN 90 BKN 15 221/12.6/9.5/1208/SF1SC7AC1 RMK VIA YKA FIC UNOFF
2005/05/11 13:16:54 YVR SA 1300  20 FEW M40 BKN 90 BKN 15 221/12.6/9.5/1009/SF1SC7AC1 RMK VIA YKA FIC UNOFF
Warning: at line 1009: duplicated data: prev hr = 5 PST  current hr = 5 PST
2005/05/11 16:00:57 YVR SA 1300  20 FEW M40 BKN 90 BKN 15 221/12.6/9.5/1208/SF1SC7AC1  UNOFF
Warning: at line 1010: rec & nom time differ > 30 min:  rec = 2005-05-11 08:00:57  nom = 2005-05-11 05:00:00
Warning: at line 1010: duplicated data: prev hr = 5 PST  current hr = 5 PST
2005/05/11 14:14:05 YVR SA 1400  35 -SCT 15 223/12.4/9.3/1007/SC4 RMK VIA YKA FIC UNOFF
